Timestamp,"Domisili saat ini (kota, provinsi)","Domisili saat ini (kota, provinsi)",Kelamin,Umur kamu berapa saat ini?,"Adakah komunitas JavaScript di sekitar tempat tinggal kamu? Jika ada, boleh disebutkan nama komunitasnya apa saja. Boleh meetup, telegram grup, WhatsApp, FB group dan sebagainya",Kegiatan saat ini,,Kamu sedang tertarik belajar tentang framework apa?,Media terbaik buat kamu untuk belajar pemrograman?,Pengalaman kerja,Bagaimana biasanya kamu belajar sebuah teknologi atau framework?,Saat ini menggunakan framework apa?,Bagaimana pendapatmu tentang framework tersebut? (Kelebihan dan kekurangan),Saat ini sedang tertarik belajar framework apa?,Pertimbangan utama memilih sebuah teknologi?,Gaji saat ini berkisar antara...,Perusahaan kamu saat ini memiliki...,"Saat mencari talenta, biasanya banyak merekrut dari mana?",Apakah tim development sudah menggunakan testing dalam proses development,Alat bantu testing yang digunakan
10/15/2019 19:54,"Jakarta, DKI Jakarta","Jakarta, DKI Jakarta",Perempuan,19,"JakartaJS, ReactJS Indonesia",Sedang Kuliah,kuliah,React,Artikel atau blog,,,,,,,,,,,
10/16/2019 16:07,"Denpasar, Bali","Denpasar, Bali",Perempuan,23,"BaliJs, Developer Circle Bali",Backend,Backend,,,2-5 tahun,Dari tutorial,TypeORM,"Belum terlalu mengerti, sedang proses mempelajari dan mencoba",TypeORM,"User friendly (cepat, ringan, kecil)",5-10 juta per bulan,5-10 orang,Referal dari rekan,Kadang-kadang,Jest
10/17/2019 19:31,"Jakarta Barat, DKI Jakarta","Jakarta Barat, DKI Jakarta",Perempuan,21,JakartaJS,Frontend,Frontend,,,1-2 tahun,Langsung mencoba menggunakan,Angular,Cukup familiar krn memiliki konsep MVC dimana sebelum adanya web modern konsep ini sudah ada di framework seperti Laravel namun awalnya sangat sulit dipelajari karena harus punya basic TypeScript.,React,Developer friendly,5-10 juta per bulan,50-100 orang,"Situs pencari kerja seperti urbanhire, jobsdb, dll",Belum,
10/18/2019 21:26,"Depok, Jawa Barat","Depok, Jawa Barat",Perempuan,23,"JakartaJS,React Native ID",Frontend,Frontend,,,1-2 tahun,"Dari contoh aplikasi, example code ataupun boilerplate",React,"Kelebihannya komunitasnya besar dan banyak developer yg memakai bahasa tersebut, kekurangannya learning curvenya termasuk yg landai jd agak sulit untuk di awal2 masa belajar",Vue,Yang populer atau paling banyak digunakan,10-20 juta per bulan,20-50 orang,Referal dari rekan,Belum,
10/31/2019 16:06,"Kab. Sleman, D.I Yogyakarta","Kab. Sleman, D.I Yogyakarta",Perempuan,27,JogjaJS,Frontend,Frontend,,,Dibawah 1 tahun,"Awalnya Dari Tutorial & Kursus Online, mencari Project Freelance",React,"dibandingkan dengan jQuery, React lebih mudah, meskipun ketika mengakses DOM secara langsung tidak nyaman dengan keyword tag JSXnya (dangerouslySetInnerHTML)",React,Yang sudah mature,0-5 juta per bulan,100-1000 orang,"Situs pencari kerja seperti urbanhire, jobsdb, dll",Harus,"Pada bagian QA menggunakan AB Test, saya sendiri masih ingin mendalami Jest"
